hotel,is_canceled,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,name,email,phone-number
Resort Hotel,0,0,March,0,1,2,0.0,0,BB,PRT,0,1,A,0,No Deposit,0,Transient,29.0,0,0,Laura Rodriguez,Laura_R@mail.com,600-090-4776
City Hotel,0,10,January,0,1,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,125.0,1,1,Jennifer Russell,JRussell@hotmail.com,771-943-6807
City Hotel,1,278,March,2,1,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,90.0,0,0,Jeffrey Keller,Jeffrey.Keller@att.com,742-178-6615
Resort Hotel,1,235,June,2,5,2,0.0,0,BB,PRT,0,0,E,1,No Deposit,0,Transient,136.0,0,2,Anthony Kim,AnthonyKim@hotmail.com,371-892-3189
Resort Hotel,1,386,October,1,3,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,49.0,0,0,Carol Wiley,Wiley_Carol@gmail.com,706-302-3395
City Hotel,1,85,July,1,3,3,0.0,0,BB,GBR,0,0,E,0,No Deposit,0,Transient,220.0,0,1,Steven Sandoval,SSandoval@comcast.net,644-149-9799
City Hotel,1,25,May,2,1,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,90.0,0,0,Alyssa Bond,Alyssa.Bond@att.com,675-908-3284
City Hotel,0,39,August,0,2,1,0.0,0,HB,PRT,0,0,A,1,No Deposit,0,Transient-Party,87.0,0,0,James Armstrong,Armstrong.James@verizon.com,634-082-0879
City Hotel,0,1,May,1,2,1,0.0,0,BB,PRT,0,0,A,1,No Deposit,0,Transient,105.0,0,0,James Fowler,James.F53@att.com,659-222-3563
City Hotel,0,8,August,0,1,1,0.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient,80.0,0,0,Lindsay Smith,Lindsay_Smith@verizon.com,340-001-9700
City Hotel,0,6,June,0,1,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,95.0,0,0,Thomas Kim,TKim80@gmail.com,450-947-2722
City Hotel,1,342,September,2,4,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,0,Transient,170.0,0,0,Anthony Williamson,Anthony_W@att.com,478-361-0915
City Hotel,1,301,November,0,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,52.0,0,0,Sarah Moore,SMoore@outlook.com,220-618-6712
Resort Hotel,0,2,October,0,2,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient,96.0,1,0,Rebecca Wu,Rebecca.Wu42@zoho.com,363-994-8866
City Hotel,1,3,September,2,5,1,0.0,0,BB,PRT,0,0,D,0,No Deposit,0,Transient,179.71,0,1,Kelly Hendricks,KHendricks@xfinity.com,369-351-7432
City Hotel,1,351,October,2,1,2,0.0,0,BB,PRT,1,0,A,0,No Deposit,0,Transient-Party,62.8,0,0,Gabriella Russell,GabriellaRussell44@comcast.net,992-598-1625
Resort Hotel,0,4,October,0,0,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,0.0,0,0,Madison Flowers,Madison.F@protonmail.com,464-284-1812
City Hotel,1,148,May,0,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,95.0,0,0,Cory Garcia,Cory.G@att.com,772-517-0364
City Hotel,0,12,March,2,3,1,0.0,0,BB,GBR,0,1,D,0,No Deposit,0,Transient,99.45,0,0,Taylor Green,Taylor.G12@att.com,938-665-6912
Resort Hotel,0,25,August,1,5,2,0.0,0,BB,ESP,0,0,E,0,No Deposit,0,Transient,279.33,1,3,Nicole Thomas,Thomas.Nicole@comcast.net,895-951-9632
City Hotel,1,109,February,2,1,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,44,Transient,75.0,0,0,Lisa Wallace,Lisa.Wallace@outlook.com,544-625-4862
Resort Hotel,1,214,April,2,5,2,0.0,0,BB,PRT,0,0,D,0,No Deposit,0,Transient,51.97,0,1,Ana Bishop,AnaBishop@aol.com,943-051-4941
Resort Hotel,1,139,August,1,3,2,0.0,0,BB,GBR,0,0,E,0,No Deposit,0,Transient,231.5,0,0,Michael Meyer,Meyer_Michael88@outlook.com,506-995-4721
Resort Hotel,0,6,January,2,0,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,44.0,0,0,Scott Clark,Scott.Clark62@comcast.net,301-003-2334
City Hotel,1,8,March,2,2,2,0.0,0,BB,PRT,0,0,D,0,No Deposit,0,Transient,87.04,0,0,Thomas Carlson,ThomasCarlson55@protonmail.com,677-540-2009
Resort Hotel,1,55,July,4,10,2,10.0,0,BB,PRT,0,0,D,2,No Deposit,0,Contract,133.16,0,1,Jamie Ramirez,Ramirez_Jamie22@aol.com,268-823-5667
Resort Hotel,0,96,August,1,5,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,134.0,0,3,Tiffany Jones,Jones_Tiffany35@protonmail.com,463-722-0951
City Hotel,1,15,February,0,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,95.0,0,0,Linda Mclaughlin,Mclaughlin_Linda@zoho.com,923-668-1969
Resort Hotel,1,33,November,1,0,1,0.0,0,BB,PRT,0,1,A,0,No Deposit,0,Transient,25.0,0,0,Vincent Taylor,Vincent_Taylor45@xfinity.com,452-742-0109
City Hotel,0,11,July,1,1,1,0.0,0,BB,PRT,0,0,E,0,No Deposit,0,Transient,181.0,0,0,Amy Kelly,AKelly@protonmail.com,209-697-4345
City Hotel,0,316,May,0,3,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,110.0,0,0,Brett Hill,Brett_Hill@xfinity.com,677-485-8374
Resort Hotel,0,178,June,2,5,2,1.0,0,BB,PRT,0,0,C,2,No Deposit,0,Transient,134.4,1,2,Elizabeth Perez,Perez.Elizabeth@mail.com,870-371-6826
City Hotel,0,1,August,0,1,2,0.0,0,BB,FRA,0,0,A,0,No Deposit,0,Contract,105.0,1,1,Taylor Jones,TJones98@gmail.com,121-598-7508
City Hotel,0,49,September,0,1,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,65.0,0,0,Marilyn Owens,Owens_Marilyn@hotmail.com,802-153-4126
Resort Hotel,1,339,September,3,6,2,0.0,0,HB,PRT,0,0,A,0,Non Refund,0,Transient,80.0,0,0,Timothy Barber,Timothy.B@outlook.com,272-032-1389
City Hotel,0,23,May,0,3,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,169.0,0,1,Brian Burgess,Brian_B@mail.com,380-344-0533
Resort Hotel,1,52,September,0,1,2,0.0,0,BB,PRT,0,0,A,2,No Deposit,0,Transient,189.0,0,2,Jennifer Ochoa,JOchoa@zoho.com,523-716-3244
City Hotel,1,76,July,0,3,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,76.5,0,1,James Mason,James.Mason@yahoo.com,903-614-6954
City Hotel,0,64,December,1,2,2,0.0,0,BB,ESP,0,0,D,0,No Deposit,0,Transient,111.6,0,2,Julie Clark,Julie_Clark@hotmail.com,319-168-8600
Resort Hotel,0,2,April,0,1,1,0.0,0,BB,PRT,0,6,A,1,No Deposit,0,Transient,46.0,1,0,Julie White,Julie_White@yandex.com,391-508-3774
City Hotel,0,55,September,2,0,2,0.0,0,BB,FRA,0,0,A,0,No Deposit,0,Transient-Party,75.0,0,0,Casey Rhodes,Casey.R@xfinity.com,303-178-5890
City Hotel,1,173,June,2,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,120.0,0,0,Jenna Collins,Jenna.C@verizon.com,914-686-4245
City Hotel,0,18,July,1,1,3,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,108.75,0,0,Adrienne Jordan,AdrienneJordan@gmail.com,793-473-1079
Resort Hotel,1,177,August,2,5,2,0.0,0,HB,PRT,1,0,A,0,No Deposit,0,Transient-Party,119.7,0,0,Sara Williams,SWilliams@yahoo.com,636-514-7850
City Hotel,1,365,October,1,1,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,0,Transient,62.8,0,0,Sandra Lucas,SLucas@yandex.com,335-611-1398
Resort Hotel,0,0,October,0,1,2,1.0,0,BB,PRT,0,0,F,0,No Deposit,0,Transient,107.5,1,1,Matthew Payne,Matthew_P@verizon.com,340-258-2214
City Hotel,1,25,December,2,2,2,0.0,0,BB,PRT,1,0,A,0,No Deposit,0,Transient,92.5,0,2,Sherry Mason,SherryMason@yahoo.com,347-933-1165
Resort Hotel,0,468,May,0,2,2,0.0,0,HB,PRT,0,0,A,0,No Deposit,0,Transient-Party,67.0,0,0,Jessica Gilbert,JessicaGilbert@hotmail.com,831-929-8336
Resort Hotel,1,183,July,4,10,2,2.0,0,BB,FRA,0,0,G,0,No Deposit,0,Transient,204.29,0,1,Melvin Sullivan,Sullivan.Melvin@zoho.com,630-036-7941
City Hotel,0,16,April,1,2,2,0.0,0,BB,FRA,0,0,D,0,No Deposit,0,Transient,136.0,0,1,Charles Ramirez,Ramirez.Charles47@verizon.com,394-122-6377
Resort Hotel,0,39,March,0,1,2,0.0,0,BB,GBR,0,0,D,0,No Deposit,0,Transient,54.4,0,2,Kara Weeks,Kara_Weeks@comcast.net,906-883-3350
City Hotel,0,5,May,1,0,1,0.0,0,BB,PRT,0,1,A,0,No Deposit,0,Transient,0.0,0,1,Daniel Flynn,Daniel.F@gmail.com,232-808-1188
City Hotel,0,256,October,2,3,2,0.0,0,BB,DEU,0,0,A,0,No Deposit,0,Transient-Party,100.75,0,0,Eric Browning,Browning.Eric83@verizon.com,389-460-4567
City Hotel,1,79,November,0,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,69,Transient,75.0,0,0,Gary Sloan,Sloan.Gary93@xfinity.com,801-202-9805
City Hotel,1,19,February,1,3,3,0.0,0,BB,PRT,0,0,D,1,No Deposit,0,Transient,120.0,0,0,Jonathan Peterson,Jonathan_Peterson60@yandex.com,522-560-9379
City Hotel,1,93,June,2,3,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,99.0,0,0,Vanessa Bishop,Vanessa.Bishop@comcast.net,834-992-6991
City Hotel,1,94,April,0,3,2,0.0,0,BB,DEU,0,0,D,2,No Deposit,0,Transient,105.3,0,0,Bradley Harvey,Bradley.Harvey@gmail.com,959-738-2965
City Hotel,1,28,October,0,1,1,0.0,0,BB,PRT,1,0,A,0,No Deposit,0,Transient-Party,130.0,0,0,Karen Caldwell,Karen.C98@mail.com,776-281-7988
City Hotel,0,16,December,0,2,2,0.0,0,SC,DEU,0,0,A,0,No Deposit,0,Transient,91.5,0,1,James Ryan,James.Ryan@yahoo.com,287-884-0969
City Hotel,0,64,May,0,4,2,0.0,0,SC,GBR,0,0,A,0,No Deposit,0,Transient,85.0,0,0,Carla Hughes,Carla_H@att.com,769-344-5540
Resort Hotel,0,162,March,0,3,2,0.0,0,Undefined,ESP,0,0,A,0,No Deposit,0,Transient-Party,84.0,0,0,Jasmine Lopez,Lopez.Jasmine@xfinity.com,452-441-0425
City Hotel,1,207,September,0,2,2,0.0,0,BB,PRT,1,0,A,0,No Deposit,0,Transient,48.0,0,0,Dr. Brandon Taylor,Dr..Taylor@comcast.net,286-795-6500
Resort Hotel,0,20,June,1,3,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient,140.0,0,1,Brett Erickson,BErickson@aol.com,938-890-9605
City Hotel,0,16,July,0,2,2,0.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient-Party,139.0,0,1,Cheryl Ellis,Cheryl_Ellis@outlook.com,179-990-5587
City Hotel,1,339,September,1,1,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,0,Contract,62.0,0,0,Elizabeth House,ElizabethHouse@yandex.com,803-676-9558
City Hotel,0,95,April,0,4,2,0.0,0,HB,FRA,0,0,A,0,No Deposit,0,Transient,115.0,0,0,Caitlin Foster,Caitlin_Foster99@att.com,553-462-5369
City Hotel,0,6,March,0,1,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,65.0,0,1,Robert Shea III,Robert_III@hotmail.com,982-948-1721
City Hotel,0,198,August,2,4,2,0.0,0,BB,DEU,0,0,A,0,No Deposit,0,Transient,72.25,0,0,Brandon King,BKing@aol.com,529-436-0225
City Hotel,1,56,February,0,3,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,60.0,0,0,Brittany Taylor,BTaylor@hotmail.com,380-340-8512
Resort Hotel,1,51,June,2,2,2,0.0,0,BB,PRT,0,0,D,0,No Deposit,0,Transient,76.0,0,0,Mia Wong,Wong_Mia70@att.com,289-959-8604
City Hotel,0,133,July,2,2,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,130.5,0,2,Wendy Taylor,WTaylor@hotmail.com,103-086-8601
City Hotel,0,8,July,2,1,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient,86.53,0,0,Alexis Cox,Alexis.Cox@yandex.com,609-454-8372
Resort Hotel,1,43,January,1,2,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient-Party,48.0,0,0,Michaela Edwards,Edwards.Michaela@gmail.com,444-107-9203
City Hotel,0,101,December,1,3,2,0.0,0,BB,FRA,0,0,D,0,No Deposit,0,Transient,61.5,0,0,Erin Taylor,ETaylor52@aol.com,152-213-0699
City Hotel,0,55,July,1,3,2,0.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient,151.0,0,1,Jason Smith,Jason_S59@verizon.com,269-927-3505
Resort Hotel,0,251,May,2,5,1,2.0,0,BB,GBR,0,0,A,2,No Deposit,0,Transient,83.7,0,1,Breanna Tyler,Tyler.Breanna@yandex.com,728-136-1550
Resort Hotel,0,142,April,2,5,2,0.0,0,BB,FRA,0,0,D,1,No Deposit,0,Transient,81.43,0,1,Mercedes Elliott,MElliott@verizon.com,867-586-1039
Resort Hotel,0,31,November,2,5,2,0.0,0,BB,FRA,0,0,A,0,No Deposit,0,Transient,43.2,0,1,Jessica Lee,Lee_Jessica@gmail.com,210-643-9915
City Hotel,0,70,April,2,3,3,0.0,0,BB,FRA,0,0,D,0,No Deposit,0,Transient,130.05,0,2,Gregory Perez,Perez_Gregory@verizon.com,601-192-0182
Resort Hotel,0,160,October,2,1,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,46.4,0,1,Deborah Brown,DeborahBrown41@comcast.net,382-999-4294
City Hotel,0,84,September,0,2,1,0.0,0,BB,GBR,0,0,D,0,No Deposit,0,Transient,149.4,0,2,Alexandra Dudley,ADudley@att.com,174-632-3214
City Hotel,1,75,August,0,1,3,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,167.7,0,3,Andrew Beck,AndrewBeck87@yahoo.com,856-891-9331
Resort Hotel,1,203,March,2,5,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,42.69,0,0,Tyler Copeland,TCopeland@zoho.com,462-077-3900
City Hotel,0,9,August,1,2,2,0.0,0,BB,GBR,0,0,D,0,No Deposit,0,Transient,183.33,0,1,Bridget Russo,Russo_Bridget@comcast.net,836-044-1124
City Hotel,1,28,March,0,3,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,95.0,0,0,Destiny Hernandez,Destiny_H27@aol.com,119-267-0973
City Hotel,0,5,March,0,2,2,0.0,0,BB,FRA,0,0,A,0,No Deposit,0,Transient,103.0,0,0,Christine Miller,CMiller@verizon.com,556-076-7291
Resort Hotel,1,65,April,0,2,2,0.0,0,BB,PRT,0,0,D,0,No Deposit,0,Transient,73.0,0,0,Diana Johnson,DianaJohnson@comcast.net,611-575-4441
City Hotel,0,88,June,2,1,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient,102.3,0,1,Jason Smith,Jason_Smith@aol.com,903-572-6879
City Hotel,0,0,November,0,0,0,0.0,0,HB,PRT,0,0,A,0,No Deposit,0,Transient,0.0,0,0,Eric Shannon,Shannon.Eric@outlook.com,120-832-0655
City Hotel,1,86,October,2,1,2,0.0,0,HB,PRT,0,0,A,0,No Deposit,0,Transient-Party,86.0,0,0,Jessica Nichols,JNichols@xfinity.com,890-519-1931
City Hotel,0,39,August,0,2,2,0.0,0,HB,DEU,0,0,A,0,No Deposit,0,Transient-Party,109.0,0,0,Linda Smith,Linda_S@outlook.com,352-837-8353
Resort Hotel,0,236,August,2,3,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,123.6,0,1,Rebecca Wise,RebeccaWise22@verizon.com,581-483-3608
City Hotel,1,15,December,0,2,2,0.0,0,BB,PRT,1,0,A,0,No Deposit,0,Transient,69.0,0,0,Valerie Jones,ValerieJones73@att.com,180-506-8347
Resort Hotel,0,10,April,1,1,2,0.0,0,BB,ESP,0,0,D,0,No Deposit,0,Transient,121.0,0,1,Mr. Tony Hunt,Hunt.Mr.21@xfinity.com,513-279-5869
City Hotel,0,47,May,1,3,2,0.0,0,BB,GBR,0,0,E,0,No Deposit,0,Transient,159.3,0,0,Matthew Gordon,Matthew.Gordon@yahoo.com,690-367-7258
City Hotel,0,0,May,1,0,1,0.0,0,BB,PRT,0,5,A,0,No Deposit,0,Transient,65.0,0,0,Ashley Harris,AshleyHarris@mail.com,776-841-6390
Resort Hotel,0,1,November,0,1,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,43.0,0,1,Michael Hernandez,MHernandez@yandex.com,310-276-5655
Resort Hotel,0,0,February,0,1,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,40.0,0,0,Troy Wilson,Wilson.Troy@gmail.com,752-086-8989
City Hotel,1,201,June,0,4,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Andre Burgess,Andre.B@verizon.com,544-351-5162
City Hotel,1,321,September,0,2,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,0,Contract,62.0,0,0,Ivan Navarro,IvanNavarro@gmail.com,405-784-0898
Resort Hotel,0,1,January,0,1,1,0.0,0,BB,PRT,1,3,A,1,No Deposit,0,Transient,45.0,1,2,Karen May,May_Karen@yandex.com,667-812-8468
City Hotel,0,15,February,0,1,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,81.0,0,0,Ashley Thomas,Thomas_Ashley76@att.com,677-542-7616
Resort Hotel,1,52,August,2,5,2,2.0,0,BB,GBR,0,0,G,0,No Deposit,0,Transient,247.57,0,0,Amanda Gonzalez,Amanda_G@att.com,708-506-7635
Resort Hotel,1,38,March,1,2,2,0.0,0,BB,PRT,0,0,A,1,No Deposit,0,Transient,48.0,0,1,Patricia Miranda,Miranda_Patricia@zoho.com,137-949-9076
Resort Hotel,0,60,July,2,6,2,0.0,0,HB,GBR,0,0,A,1,No Deposit,0,Transient,90.12,0,1,Vicki Williams,VWilliams@zoho.com,786-996-0203
Resort Hotel,0,11,February,1,2,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,60.0,0,2,Daniel Wilson,DWilson61@att.com,288-814-1031
City Hotel,1,243,July,0,4,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Elizabeth Knox,Elizabeth_Knox@yahoo.com,951-276-8543
City Hotel,1,99,February,0,1,2,0.0,0,BB,PRT,1,0,A,0,No Deposit,0,Transient-Party,80.0,0,0,Stephen Briggs,SBriggs@outlook.com,285-195-2513
City Hotel,0,174,June,3,5,2,0.0,0,BB,DEU,0,0,D,0,No Deposit,0,Transient,120.35,0,0,Michael Collins,Michael_C49@hotmail.com,447-761-3540
City Hotel,0,72,October,0,3,1,0.0,0,BB,PRT,0,0,A,1,No Deposit,58,Transient-Party,75.33,0,0,Shawn Avery Jr.,SJr.@xfinity.com,950-268-8221
Resort Hotel,0,0,February,0,1,1,0.0,0,BB,PRT,1,9,A,0,No Deposit,0,Transient,30.0,0,0,Brenda Galvan,BrendaGalvan@outlook.com,434-050-0739
Resort Hotel,1,81,February,0,3,1,0.0,0,BB,GBR,0,0,A,4,No Deposit,0,Transient-Party,37.0,0,1,Rhonda Williams,RhondaWilliams@protonmail.com,986-337-3870
City Hotel,0,0,August,1,3,2,0.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient,124.0,0,0,Matthew Jennings,MatthewJennings48@comcast.net,667-769-8382
Resort Hotel,1,95,August,2,4,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,230.0,0,1,Erika Johnson,ErikaJohnson@yahoo.com,421-049-8178
Resort Hotel,1,244,September,0,3,2,0.0,0,BB,PRT,19,0,A,0,Non Refund,0,Transient,36.0,0,0,Stacy Walker,Walker.Stacy@mail.com,547-828-8373
City Hotel,0,0,October,0,1,1,0.0,0,BB,PRT,1,3,A,0,No Deposit,0,Transient,6.0,0,0,Cathy Jones,Cathy.J@outlook.com,555-384-2020
City Hotel,1,482,November,0,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,62.8,0,0,Jennifer Murphy,Jennifer_M@gmail.com,898-690-2152
Resort Hotel,0,81,March,0,3,3,0.0,0,HB,GBR,0,0,A,0,No Deposit,0,Transient-Party,86.55,0,0,Isabel Smith,Smith.Isabel@hotmail.com,223-317-9110
City Hotel,0,79,March,1,2,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,87.3,0,1,Jennifer Jones,JJones@yahoo.com,755-836-2867
Resort Hotel,0,0,February,0,3,2,0.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient,29.0,0,0,Morgan Hamilton,Morgan_H@verizon.com,313-699-7879
City Hotel,0,11,May,5,10,1,0.0,0,BB,FRA,0,0,A,0,No Deposit,0,Transient,95.0,0,0,Megan Evans,MEvans@xfinity.com,455-196-0809
Resort Hotel,0,50,August,1,4,2,0.0,0,HB,PRT,0,0,A,0,No Deposit,0,Transient,174.4,0,1,Kristin Grant,KristinGrant79@xfinity.com,551-978-4035
Resort Hotel,0,90,July,2,5,2,0.0,0,BB,GBR,0,0,A,1,No Deposit,0,Contract,93.6,0,1,William Taylor,William_Taylor@verizon.com,315-789-7357
Resort Hotel,1,168,April,0,2,2,0.0,0,HB,PRT,0,0,A,0,Non Refund,0,Transient,86.0,0,0,Troy Johnson,Troy_J@verizon.com,833-887-2353
City Hotel,1,254,September,1,1,2,0.0,0,HB,PRT,0,0,A,0,Non Refund,0,Transient,96.0,0,0,Melissa Casey,Casey.Melissa@gmail.com,905-052-7644
City Hotel,0,119,June,1,3,2,0.0,0,BB,GBR,0,1,E,2,No Deposit,0,Transient,136.8,0,0,Martha Sanders,MarthaSanders@protonmail.com,275-382-2415
City Hotel,0,31,April,2,2,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,96.75,0,2,Miss Megan Padilla DVM,MissDVM30@aol.com,648-278-4029
City Hotel,0,405,July,0,2,2,0.0,0,HB,DEU,0,0,A,0,No Deposit,0,Transient-Party,114.4,0,0,Donald Williams,Donald.W61@protonmail.com,912-118-1680
City Hotel,1,447,September,0,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,62.0,0,0,Jimmy White,Jimmy_W@aol.com,515-140-7143
City Hotel,0,121,September,2,2,2,0.0,0,BB,FRA,0,0,A,0,No Deposit,0,Transient,129.6,0,1,Robin Edwards,Robin_E49@mail.com,747-314-6899
City Hotel,0,168,July,2,5,3,0.0,0,BB,FRA,0,0,D,2,No Deposit,0,Transient,126.41,0,2,Richard Ward,RWard@aol.com,776-252-0003
City Hotel,1,86,January,0,1,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,35,Transient,85.0,0,0,William Davis,WilliamDavis@protonmail.com,990-574-6854
City Hotel,0,104,July,2,1,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient,88.01,0,1,Neil Cooper,Neil.Cooper@verizon.com,223-399-5859
City Hotel,1,393,April,2,1,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,90.0,0,0,Stacey Rodriguez,Stacey_R@xfinity.com,951-378-0635
Resort Hotel,0,0,March,1,0,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,30.0,0,0,Heather Holmes,Heather.H46@verizon.com,236-979-2005
City Hotel,1,168,May,1,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,140.0,0,0,Steve Gentry,Steve.Gentry74@aol.com,163-825-3093
City Hotel,0,174,September,0,3,1,0.0,0,BB,DEU,0,0,A,0,No Deposit,0,Transient-Party,95.67,0,0,Makayla Jones,Makayla.Jones@xfinity.com,909-569-2549
City Hotel,0,168,August,0,5,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient,130.5,0,0,Christine Petersen,Petersen.Christine@zoho.com,702-753-2424
City Hotel,1,283,October,2,0,2,0.0,0,HB,PRT,0,0,A,0,Non Refund,0,Transient,96.0,0,0,Justin Mercer,JMercer99@comcast.net,522-164-2465
City Hotel,1,141,June,2,5,1,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,130.0,0,0,Nicholas Phillips,Phillips_Nicholas@hotmail.com,971-601-3151
Resort Hotel,0,222,September,1,1,2,0.0,0,HB,FRA,0,0,A,0,No Deposit,0,Transient,80.0,0,0,Thomas Bowen,ThomasBowen@comcast.net,265-653-1295
Resort Hotel,0,0,February,0,3,1,0.0,0,BB,PRT,0,1,A,0,No Deposit,0,Transient,42.0,1,2,Stephanie Nichols MD,MD.Stephanie@xfinity.com,253-695-4177
City Hotel,0,78,June,0,2,2,0.0,0,BB,DEU,0,0,A,0,No Deposit,0,Transient,89.1,0,0,Andrew Barrera,ABarrera80@att.com,768-952-3926
City Hotel,0,19,December,0,4,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,58.0,0,1,Lori Carroll,Lori_C@comcast.net,878-444-8313
City Hotel,0,8,December,2,2,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,84.0,0,2,Kelly Anderson,Kelly_A83@comcast.net,882-235-4165
City Hotel,1,346,September,1,1,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,0,Contract,62.0,0,0,Brian Williams,Brian_W@protonmail.com,203-092-0782
Resort Hotel,0,287,October,1,3,3,0.0,0,BB,GBR,0,0,A,1,No Deposit,0,Transient-Party,62.5,0,0,Matthew Hines,MatthewHines@protonmail.com,603-709-6441
City Hotel,1,52,February,0,2,2,0.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient,78.3,0,1,Ian Ward,Ian_W@outlook.com,456-038-6414
Resort Hotel,0,87,July,1,1,2,0.0,0,HB,ESP,0,0,A,1,No Deposit,0,Transient,202.0,0,1,Cynthia Bennett,CynthiaBennett@att.com,195-135-6223
City Hotel,0,7,March,1,1,3,0.0,0,BB,FRA,0,0,D,0,No Deposit,0,Transient,182.0,0,2,Erica Dunn,EDunn@gmail.com,468-599-9046
City Hotel,1,17,November,0,1,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,67.0,0,0,Thomas Moss,TMoss@aol.com,627-490-6360
City Hotel,1,10,January,2,1,1,0.0,0,BB,PRT,0,0,D,0,No Deposit,0,Transient-Party,69.0,0,2,Mr. Brandon Jones,Jones.Mr.73@hotmail.com,306-167-3637
City Hotel,1,334,September,0,2,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,0,Transient-Party,62.0,0,0,Tiffany Gonzalez,Tiffany_Gonzalez@comcast.net,274-207-2028
City Hotel,1,176,July,0,4,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient,90.95,0,0,Jennifer Martinez,JMartinez@zoho.com,412-393-2259
